Player,Nationality,Club,Season,Round,Opponent,Minute,Goal_Type,Venue,Goals_In_Match
Cristiano Ronaldo,Portugal,Real Madrid,2019-20,Round Of 16,Ac Milan,10,Penalty,Home,1
Joshua Kimmich,Germany,Bayern Munich,2020-21,Final,Atletico Madrid,62,Penalty,Away,1
Memphis Depay,Netherlands,Barcelona,2023-24,Group Stage,Benfica,32,Free Kick,Home,1
Antoine Griezmann,France,Atletico Madrid,2021-22,Final,Ajax,90,Header,Home,2
Cristiano Ronaldo,Portugal,Juventus,2010-11,Group Stage,Benfica,76,Left Foot,Home,1
Didier Drogba,Ivory Coast,Chelsea,2018-19,Group Stage,Bayern Munich,84,Right Foot,Away,3
Vinicius Junior,Brazil,Real Madrid,2015-16,Quarter-Final,Atletico Madrid,82,Free Kick,Home,1
Thomas Muller,Germany,Bayern Munich,2015-16,Group Stage,Liverpool,22,Free Kick,Away,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2023-24,Final,Borussia Dortmund,19,Right Foot,Home,1
Thomas Muller,Germany,Bayern Munich,2020-21,Group Stage,Juventus,70,Penalty,Home,2
Julian Alvarez,Argentina,Manchester City,2015-16,Semi-Final,Ac Milan,13,Header,Away,1
Kevin De Bruyne,Belgium,Manchester City,2017-18,Group Stage,Juventus,96,Left Foot,Away,1
Neymar Jr,Brazil,Paris Saint-Germain,2022-23,Group Stage,Inter Milan,2,Left Foot,Home,2
Filippo Inzaghi,Italy,Ac Milan,2022-23,Group Stage,Juventus,43,Penalty,Away,1
Antoine Griezmann,France,Atletico Madrid,2015-16,Round Of 16,Chelsea,88,Header,Home,3
Filippo Inzaghi,Italy,Ac Milan,2013-14,Round Of 16,Ajax,91,Left Foot,Away,2
Jude Bellingham,England,Real Madrid,2020-21,Semi-Final,Sevilla,8,Penalty,Home,1
Julian Alvarez,Argentina,Manchester City,2023-24,Round Of 16,Barcelona,41,Header,Away,2
Luis Suarez,Uruguay,Atletico Madrid,2012-13,Group Stage,Tottenham Hotspur,43,Right Foot,Home,3
Thomas Muller,Germany,Bayern Munich,2014-15,Semi-Final,Tottenham Hotspur,86,Right Foot,Home,1
Victor Osimhen,Nigeria,Napoli,2010-11,Group Stage,Benfica,41,Right Foot,Home,2
Jude Bellingham,England,Real Madrid,2020-21,Semi-Final,Inter Milan,56,Penalty,Home,3
Luka Modric,Croatia,Real Madrid,2019-20,Quarter-Final,Sevilla,27,Penalty,Home,1
Bukayo Saka,England,Arsenal,2011-12,Semi-Final,Barcelona,14,Free Kick,Home,2
Andriy Shevchenko,Ukraine,Ac Milan,2023-24,Final,Borussia Dortmund,82,Penalty,Away,3
Erling Haaland,Norway,Manchester City,2015-16,Round Of 16,Inter Milan,7,Penalty,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2010-11,Semi-Final,Porto,69,Right Foot,Away,1
Luka Modric,Croatia,Real Madrid,2010-11,Round Of 16,Liverpool,32,Header,Away,1
Lionel Messi,Argentina,Paris Saint-Germain,2017-18,Group Stage,Juventus,69,Penalty,Away,1
Lionel Messi,Argentina,Barcelona,2015-16,Group Stage,Ac Milan,36,Penalty,Away,2
Lionel Messi,Argentina,Barcelona,2012-13,Group Stage,Juventus,43,Right Foot,Home,2
Bernardo Silva,Portugal,Manchester City,2021-22,Group Stage,Inter Milan,41,Right Foot,Home,1
Vinicius Junior,Brazil,Real Madrid,2015-16,Round Of 16,Borussia Dortmund,10,Header,Home,1
Harry Kane,England,Tottenham Hotspur,2023-24,Round Of 16,Benfica,12,Right Foot,Home,2
Toni Kroos,Germany,Real Madrid,2010-11,Final,Barcelona,56,Penalty,Home,1
Vinicius Junior,Brazil,Real Madrid,2020-21,Final,Tottenham Hotspur,54,Penalty,Away,2
Karim Benzema,France,Real Madrid,2015-16,Group Stage,Ajax,56,Header,Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2017-18,Round Of 16,Atletico Madrid,60,Free Kick,Away,1
Jude Bellingham,England,Real Madrid,2015-16,Group Stage,Manchester United,23,Header,Away,2
Raul Gonzalez,Spain,Real Madrid,2012-13,Round Of 16,Juventus,67,Header,Away,1
Alessandro Del Piero,Italy,Juventus,2020-21,Group Stage,Tottenham Hotspur,63,Right Foot,Home,2
Riyad Mahrez,Algeria,Manchester City,2018-19,Round Of 16,Borussia Dortmund,30,Right Foot,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2011-12,Final,Napoli,11,Penalty,Away,1
Memphis Depay,Netherlands,Barcelona,2015-16,Semi-Final,Napoli,57,Right Foot,Away,1
Thomas Muller,Germany,Bayern Munich,2013-14,Group Stage,Manchester United,88,Header,Away,1
Vinicius Junior,Brazil,Real Madrid,2013-14,Semi-Final,Paris Saint-Germain,29,Header,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2011-12,Quarter-Final,Chelsea,32,Header,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2019-20,Round Of 16,Atletico Madrid,6,Right Foot,Home,1
Alessandro Del Piero,Italy,Juventus,2022-23,Round Of 16,Porto,44,Left Foot,Away,1
Memphis Depay,Netherlands,Barcelona,2019-20,Group Stage,Bayern Munich,3,Free Kick,Home,2
Kylian Mbappe,France,Real Madrid,2019-20,Round Of 16,Ajax,22,Right Foot,Away,3
Neymar Jr,Brazil,Barcelona,2021-22,Group Stage,Bayern Munich,29,Free Kick,Home,1
Sergio Aguero,Argentina,Manchester City,2020-21,Round Of 16,Paris Saint-Germain,36,Right Foot,Home,2
Antoine Griezmann,France,Atletico Madrid,2011-12,Round Of 16,Ajax,70,Penalty,Away,1
Alessandro Del Piero,Italy,Juventus,2014-15,Group Stage,Porto,50,Header,Away,3
Kevin De Bruyne,Belgium,Manchester City,2012-13,Semi-Final,Bayern Munich,73,Header,Away,2
Bukayo Saka,England,Arsenal,2021-22,Group Stage,Benfica,45,Penalty,Away,2
Alfredo Di Stefano,Argentina,Real Madrid,2023-24,Group Stage,Juventus,74,Free Kick,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2020-21,Quarter-Final,Bayern Munich,48,Free Kick,Away,3
Filippo Inzaghi,Italy,Ac Milan,2019-20,Round Of 16,Manchester City,11,Right Foot,Away,3
Erling Haaland,Norway,Manchester City,2015-16,Round Of 16,Ac Milan,12,Penalty,Home,1
Raul Gonzalez,Spain,Real Madrid,2018-19,Round Of 16,Arsenal,93,Penalty,Away,3
Luka Modric,Croatia,Real Madrid,2014-15,Round Of 16,Benfica,30,Left Foot,Home,2
Antoine Griezmann,France,Atletico Madrid,2020-21,Quarter-Final,Liverpool,95,Penalty,Home,2
Robert Lewandowski,Poland,Borussia Dortmund,2021-22,Semi-Final,Barcelona,79,Left Foot,Home,2
Luka Modric,Croatia,Real Madrid,2022-23,Group Stage,Tottenham Hotspur,65,Header,Away,1
Antoine Griezmann,France,Atletico Madrid,2017-18,Semi-Final,Manchester City,21,Left Foot,Away,2
Ruud Van Nistelrooy,Netherlands,Real Madrid,2017-18,Group Stage,Benfica,58,Penalty,Home,1
Luka Modric,Croatia,Real Madrid,2013-14,Final,Manchester United,15,Free Kick,Home,1
Raul Gonzalez,Spain,Real Madrid,2018-19,Group Stage,Chelsea,23,Right Foot,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2020-21,Quarter-Final,Ajax,51,Header,Home,1
Toni Kroos,Germany,Real Madrid,2012-13,Final,Manchester City,2,Right Foot,Home,1
Erling Haaland,Norway,Manchester City,2010-11,Group Stage,Inter Milan,10,Left Foot,Home,1
Alessandro Del Piero,Italy,Juventus,2011-12,Semi-Final,Manchester United,34,Penalty,Away,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2020-21,Group Stage,Bayern Munich,88,Header,Away,2
Antoine Griezmann,France,Atletico Madrid,2019-20,Group Stage,Real Madrid,48,Right Foot,Home,2
Luka Modric,Croatia,Real Madrid,2023-24,Semi-Final,Benfica,23,Penalty,Home,1
Toni Kroos,Germany,Real Madrid,2012-13,Group Stage,Barcelona,30,Penalty,Home,1
Thomas Muller,Germany,Bayern Munich,2014-15,Round Of 16,Manchester City,90,Header,Away,3
Vinicius Junior,Brazil,Real Madrid,2015-16,Quarter-Final,Atletico Madrid,31,Penalty,Away,1
Alessandro Del Piero,Italy,Juventus,2019-20,Group Stage,Barcelona,62,Left Foot,Away,1
Bukayo Saka,England,Arsenal,2010-11,Round Of 16,Inter Milan,75,Penalty,Away,2
Memphis Depay,Netherlands,Barcelona,2012-13,Round Of 16,Inter Milan,13,Right Foot,Away,2
Fernando Torres,Spain,Chelsea,2019-20,Semi-Final,Real Madrid,89,Left Foot,Away,1
Kevin De Bruyne,Belgium,Manchester City,2016-17,Quarter-Final,Manchester United,20,Header,Away,1
Sadio Mane,Senegal,Liverpool,2012-13,Final,Manchester City,39,Free Kick,Away,1
Ruud Van Nistelrooy,Netherlands,Real Madrid,2013-14,Group Stage,Liverpool,83,Left Foot,Home,1
Julian Alvarez,Argentina,Manchester City,2019-20,Round Of 16,Paris Saint-Germain,72,Penalty,Away,1
Karim Benzema,France,Real Madrid,2018-19,Group Stage,Napoli,90,Left Foot,Home,1
