Player,Nationality,Club,Season,Round,Opponent,Minute,Goal_Type,Venue,Goals_In_Match
Filippo Inzaghi,Italy,AC Milan,2017-18,Final,Sevilla,18,Penalty,home,1
Riyad Mahrez,Algeria,Manchester City,2015-16,Group stage,Ajax,3,Free Kick,home,3
Lionel Messi,Argentina,Paris Saint-Germain,2022-23,Quarter-final,Real Madrid,39,Free Kick,Away,1
Bernardo Silva,Portugal,Manchester City,2018-19,R16,Tottenham Hotspur,41,Penalty,home,2
Kevin De Bruyne,Belgium,Manchester City,2015-16,Group stage,,27,Free Kick, Away,2
Alfredo Di Stefano,Argentina,Real Madrid,2011-12,Group Stage,Real Madrid,16,header,Home ,1
Kylian Mbappe,France,Paris Saint-Germain,2010-11,R16,Manchester United,56,Right Foot,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2018-19,Semi-final,Tottenham Hotspur,82,header,Home,1
Kevin De Bruyne,Belgium,Manchester City,2015-16,Semi-final,Manchester City,20,PENALTY,Away,3
Julian Alvarez,Argentina,Manchester City,2012-13,Group stage,,1,header,AWAY,1
Sergio Aguero,Argentina,Manchester City,2021-22,Final,Juventus,47,Free Kick, Away,2
Paulo Dybala,Argentina,Juventus,2020-21,R16,Arsenal,12,header,home,1
Thomas Muller,Germany,Bayern Munich  ,2022-23,Semi-final,Ajax,55,header,Away,1
Victor Osimhen,Nigeria,Napoli,2014-15,Group Stage,Ajax,19',Penalty,Away,1
Thomas Muller,Germany,Bayern Munich,2019-20,R16,Borussia Dortmund,77,Header,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2010-11,Group stage,Ajax,80',Header,Home,1
Bernardo Silva,Portugal,Manchester City,2021-22,R16,Bayern Munich,83,header,AWAY,1
Antoine Griezmann,France,Atletico Madrid,2014-15,R16,Tottenham Hotspur,94,Free Kick,Away,1
  ERLING HAALAND  ,Norway,Borussia Dortmund,2019-20,Group Stage,AC Milan,5,Right Foot,Home ,2
andriy shevchenko,Ukraine,AC Milan,2012-13,Round of 16,Manchester United,96,Free Kick, Away,1
Gareth Bale,Wales,Real Madrid,2018-19,Round of 16,Atletico Madrid,16,Header,AWAY,2
Robert Lewandowski,Poland,Borussia Dortmund,2010-11,Final,,39,Penalty,AWAY,1
Wayne Rooney,England,Manchester United,2010-11,GROUP STAGE,Borussia Dortmund,33,Free Kick, Away,1
Robert Lewandowski,Poland,Bayern Munich,2016-17,Final,Barcelona,90,Penalty, Away,2
Bernardo Silva,Portugal,Manchester City,2014-15,Round of 16,Sevilla,33,Left Foot,Away,1
Thomas Muller,Germany,Bayern Munich,2018-19,GROUP STAGE,Borussia Dortmund,17,Right Foot, Away,1
Antoine Griezmann,France,Atletico Madrid,2012-13,Group Stage,Manchester City,37',header, Away,3
Luis Suarez,Uruguay,Atletico Madrid,2019-20,Round of 16,Ajax,15,Header,Away,2
Erling Haaland,Norway,Borussia Dortmund,2017-18,Round of 16,Arsenal,59,Right Foot,Home ,3
Paulo Dybala,Argentina,Juventus,2015-16,GROUP STAGE,Tottenham Hotspur,30,PENALTY,Away,2
Vinicius Junior,Brazil,Real Madrid,2014-15,Group stage,Sevilla,26,Left Foot,AWAY,1
Alfredo Di Stefano,Argentina,Real Madrid,2011-12,Round of 16,Atletico Madrid,94,Penalty,Home ,1
Ruud van Nistelrooy,Netherlands,Real Madrid,2020-21,Semi-final,,67,Free Kick,home,2
Vinicius Junior,Brazil,Real Madrid,2020-21,Group stage,Napoli,68,Right Foot,Home,2
Julian Alvarez,Argentina,Manchester City,2021-22,Final,Juventus,51,Header,AWAY,1
Bernardo Silva,Portugal,Manchester City,2022-23,R16,Atletico Madrid,94',Penalty,Home,1
Wayne Rooney,England,Manchester United,2015-16,R16,,52,Free Kick, Away,1
Ousmane Dembele,France,Paris Saint-Germain,2021-22,Round of 16,Atletico Madrid,35,Free Kick, Away,1
Ruud van Nistelrooy,Netherlands,Real Madrid  ,2011-12,Round of 16,Barcelona,12',Header, Away,1
Antoine Griezmann,France,Atletico Madrid,2017-18,R16,AC Milan,30,Free Kick,Home ,1
Robert Lewandowski,Poland,Borussia Dortmund  ,2018-19,Group stage,AC Milan,70,PENALTY, Away,2
Bernardo Silva,Portugal,Manchester City,2021-22,Round of 16,AC Milan,64,PENALTY, Away,2
  BUKAYO SAKA  ,England,Arsenal,2019-20,Semi-final,Bayern Munich,91,Free Kick,Away,1
Luis Suarez,Uruguay,Barcelona,2014-15,Semi-final,AC Milan,28,right foot,Home,2
Ruud van Nistelrooy,Netherlands,Manchester United,2021-22,Group stage,Tottenham Hotspur,39,Free Kick,home,2
Gareth Bale,Wales,Real Madrid,2022-23,Round of 16,Ajax,63,Header,AWAY,1
Alessandro Del Piero,Italy,Juventus,2013-14,Semi-final,Ajax,27,right foot,Away,1
Sadio Mane,Senegal,Bayern Munich  ,2019-20,Group Stage,Porto,88,Header,AWAY,1
Didier Drogba,Ivory Coast,Chelsea,2020-21,Group stage,Borussia Dortmund,84,Left Foot,Away,1
Luka Modric,Croatia,Real Madrid  ,2020-21,Final,Tottenham Hotspur,74,Left Foot,Away,1
Ruud van Nistelrooy,Netherlands,Real Madrid,2023-24,Quarter-final,Ajax,31,Left Foot,Home ,1
Jude Bellingham,England,Real Madrid,2013-14,GROUP STAGE,Porto,17,PENALTY,home,1
Raul Gonzalez,Spain,Real Madrid,2023-24,Group stage,Inter Milan,30,Penalty,Away,1
Harry Kane,England,Tottenham Hotspur,2023-24,Group stage,Arsenal,35,Left Foot,home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2014-15,Group stage,Paris Saint-Germain,78,Penalty,AWAY,1
Gareth Bale,Wales,Real Madrid,2021-22,R16,Arsenal,58,Header,home,1
Raul Gonzalez,Spain,Real Madrid,2019-20,Round of 16,Juventus,51,Penalty,Home ,3
Gareth Bale,Wales,Real Madrid,2018-19,Group stage,Manchester United,,PENALTY, Away,1
Julian Alvarez,Argentina,Manchester City,2018-19,R16,Ajax,16,Free Kick, Away,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2020-21,Round of 16,Paris Saint-Germain,73,Penalty,AWAY,2
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2011-12,Round of 16,Napoli,75,header, Away,2
Kylian Mbappe,France,Real Madrid,2017-18,GROUP STAGE,Ajax,34,Header,AWAY,3
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2018-19,GROUP STAGE,Sevilla,6,Header,home,3
Victor Osimhen,Nigeria,Napoli,2015-16,Semi-final,Ajax,89,right foot, Away,1
Victor Osimhen,Nigeria,Napoli,2012-13,Quarter-final,Manchester City,58,Left Foot,AWAY,1
Luis Suarez,Uruguay,Atletico Madrid,2019-20,R16,Porto,82,Right Foot, Away,1
Riyad Mahrez,Algeria,Manchester City,2013-14,Quarter-final,Porto,49,Free Kick,Home ,1
Bernardo Silva,Portugal,Manchester City,2011-12,R16,Chelsea,16,right foot,home,1
Sergio Aguero,Argentina,Manchester City,2014-15,Group stage,Tottenham Hotspur,18,right foot,AWAY,1
Robert Lewandowski,Poland,Bayern Munich,2019-20,Semi-final,,89,PENALTY,Away,2
Fernando Torres,Spain,Chelsea,2015-16,Group Stage,,88,right foot,AWAY,1
  SADIO MANE  ,Senegal,Liverpool,2010-11,Group Stage,Manchester City,2,header,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2021-22,R16,Barcelona,86,Header,Away,1
Robert Lewandowski,Poland,Barcelona,2016-17,Final,Sevilla,20,right foot,AWAY,1
Memphis Depay,Netherlands,Barcelona,2018-19,Round of 16,Benfica,44,Header,AWAY,1
Kylian Mbappe,France,Paris Saint-Germain,2015-16,Final,Atletico Madrid,43,Right Foot,Away,2
Toni Kroos,Germany,Real Madrid,2023-24,R16,Manchester United,52,PENALTY, Away,1
Julian Alvarez,Argentina,Manchester City,2012-13,R16,Manchester City,69,right foot,Away,1
Erling Haaland,Norway,Manchester City,2022-23,Group Stage,Sevilla,31',header,Home,2
Memphis Depay,Netherlands,Barcelona,2015-16,R16,Inter Milan,76,right foot,home,1
Didier Drogba,Ivory Coast,Chelsea,2017-18,Group Stage,Atletico Madrid,1,PENALTY,AWAY,3
Karim Benzema,France,Real Madrid,2017-18,Quarter-final,AC Milan,9',right foot,Home,2
Andriy Shevchenko,Ukraine,Chelsea,2011-12,Quarter-final,Inter Milan,4,header,Away,1
Memphis Depay,Netherlands,Barcelona,2013-14,Semi-final,,33,Header, Away,1
Kylian Mbappe,France,Paris Saint-Germain,2020-21,Final,Inter Milan,37,Left Foot,AWAY,1
Ruud van Nistelrooy,Netherlands,Manchester United,2010-11,GROUP STAGE,Barcelona,48,Free Kick,Home,2
Riyad Mahrez,Algeria,Manchester City,2021-22,Final,Bayern Munich,3,PENALTY,home,2
Antoine Griezmann,France,Atletico Madrid,2012-13,R16,Manchester United,81,right foot, Away,2
ruud van nistelrooy,Netherlands,Manchester United,2017-18,Round of 16,,57,right foot,Home,2
Sergio Aguero,Argentina,Manchester City,2015-16,Semi-final,AC Milan,2,Header,Home ,2
Harry Kane,England,Bayern Munich,2012-13,R16,Tottenham Hotspur,70,Header,Home,3
Gareth Bale,Wales,Real Madrid,2010-11,Group Stage,Napoli,12,Free Kick,Home ,1
Paulo Dybala,Argentina,Juventus,2022-23,Semi-final,Porto,29,Right Foot,AWAY,1
Fernando Torres,Spain,Chelsea,2019-20,R16,Manchester City,59,Free Kick,Home ,3
Jude Bellingham,England,Real Madrid,2020-21,Quarter-final,,1,Header,AWAY,1
Mohamed Salah,Egypt,Liverpool,2013-14,Quarter-final,Tottenham Hotspur,38,Free Kick, Away,1
  MOHAMED SALAH  ,Egypt,Liverpool,2019-20,Semi-final,Liverpool,,Right Foot,AWAY,1
Didier Drogba,Ivory Coast,Chelsea,2020-21,Group Stage,Chelsea,57,PENALTY,AWAY,2
Fernando Torres,Spain,Chelsea,2019-20,Group Stage,Tottenham Hotspur,67,Left Foot,AWAY,3
Lionel Messi,Argentina,Barcelona,2015-16,Group Stage,Ajax,60,Left Foot,Away,1
Sergio Aguero,Argentina,Manchester City,2016-17,Round of 16,Barcelona,13,Penalty,AWAY,1
Zlatan Ibrahimovic,Sweden,Barcelona  ,2023-24,Round of 16,Sevilla,3,Header, Away,1
Jude Bellingham,England,Real Madrid,2011-12,R16,Napoli,78,Free Kick, Away,1
Sadio Mane,Senegal,Bayern Munich,2017-18,Group Stage,Liverpool,29,Penalty,AWAY,2
Jude Bellingham,England,Real Madrid,2021-22,Round of 16,Manchester City,42,PENALTY,Away,2
Joshua Kimmich,Germany,Bayern Munich,2020-21,Quarter-final,Tottenham Hotspur,26,Penalty,home,2
Robert Lewandowski,Poland,Bayern Munich,2013-14,Semi-final,Napoli,86,Left Foot,home,3
Ousmane Dembele,France,Paris Saint-Germain,2010-11,Round of 16,Manchester City,42,right foot,Home,2
Mohamed Salah,Egypt,Liverpool,2014-15,R16,Chelsea,63,Left Foot,Home ,1
  RUUD VAN NISTELROOY  ,Netherlands,Manchester United,2017-18,Group stage,Porto,27,PENALTY,Home,3
Alessandro Del Piero,Italy,Juventus,2018-19,GROUP STAGE,,59,Free Kick, Away,1
Antoine Griezmann,France,Atletico Madrid,2018-19,Semi-final,Paris Saint-Germain,2,PENALTY,Home,2
Thomas Muller,Germany,Bayern Munich,2021-22,Final,Sevilla,69,header,AWAY,2
Joshua Kimmich,Germany,Bayern Munich,2010-11,Final,Liverpool,74,Penalty, Away,1
Kevin De Bruyne,Belgium,Manchester City,2023-24,Quarter-final,Arsenal,16,Penalty,AWAY,3
Wayne Rooney,England,Manchester United  ,2016-17,Semi-final,Benfica,30,Penalty,Home ,2
Lionel Messi,Argentina,Barcelona,2015-16,Final,AC Milan,39,header,Away,1
Didier Drogba,Ivory Coast,Chelsea,2014-15,Group Stage,Real Madrid,12,PENALTY,home,1
Memphis Depay,Netherlands,Barcelona,2019-20,Group Stage,Manchester United,41,Header,Away,1
Erling Haaland,Norway,Borussia Dortmund,2021-22,Round of 16,,12,Header,AWAY,3
Sergio Aguero,Argentina,Manchester City,2012-13,Final,Sevilla,35,Left Foot,Away,1
Kylian Mbappe,France,Paris Saint-Germain,2016-17,R16,Manchester City,10,Right Foot,Away,3
Raul Gonzalez,Spain,Real Madrid,2023-24,Group Stage,Real Madrid,63,Free Kick, Away,3
Joshua Kimmich,Germany,Bayern Munich,2018-19,R16,Benfica,6,Right Foot,AWAY,1
Neymar Jr,Brazil,Barcelona,2018-19,Group stage,Inter Milan,58,Header,home,1
Raul Gonzalez,Spain,Real Madrid,2011-12,Final,,,Left Foot, Away,1
Luis Suarez,Uruguay,Atletico Madrid,2014-15,GROUP STAGE,Paris Saint-Germain,,header,Home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2021-22,R16,Inter Milan,79,Left Foot, Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2022-23,GROUP STAGE,Sevilla,29,Penalty,Home ,1
wayne rooney,England,Manchester United,2017-18,R16,Liverpool,61,right foot,Away,1
Harry Kane,England,Bayern Munich,2016-17,R16,Porto,95,PENALTY,home,2
Robert Lewandowski,Poland,Barcelona,2018-19,Round of 16,Inter Milan,33,header, Away,1
Wayne Rooney,England,Manchester United,2022-23,Semi-final,Borussia Dortmund,53,header,Away,2
Bernardo Silva,Portugal,Manchester City,2017-18,Final,Benfica,74,Right Foot,AWAY,1
  LUIS SUAREZ  ,Uruguay,Atletico Madrid,2023-24,R16,Porto,37,Right Foot,home,1
Sadio Mane,Senegal,Liverpool,2011-12,Round of 16,Paris Saint-Germain,86,Penalty,Home ,3
Zlatan Ibrahimovic,Sweden,Inter Milan,2013-14,Round of 16,,80,Right Foot,Home ,3
Edinson Cavani,Uruguay,Paris Saint-Germain,2012-13,R16,Ajax,79,Right Foot,Home ,3
Jude Bellingham,England,Real Madrid,2023-24,Round of 16,Sevilla,85,right foot,Home ,2
Jude Bellingham,England,Real Madrid,2010-11,Semi-final,AC Milan,3,PENALTY,home,2
Alessandro Del Piero,Italy,Juventus,2010-11,GROUP STAGE,,27,Right Foot,AWAY,1
Luka Modric,Croatia,Real Madrid,2016-17,Final,Atletico Madrid,41,Left Foot,Home ,1
Kevin De Bruyne,Belgium,Manchester City,2011-12,Group stage,Inter Milan,,Left Foot,AWAY,3
Sergio Aguero,Argentina,Manchester City,2010-11,Semi-final,Arsenal,38',Header,Away,1
  CRISTIANO RONALDO  ,Portugal,Juventus,2014-15,Quarter-final,Chelsea,57,right foot,Away,2
Harry Kane,England,Bayern Munich,2010-11,Semi-final,Chelsea,74,PENALTY,home,2
Wayne Rooney,England,Manchester United,2020-21,Group stage,Barcelona,54,Free Kick,home,1
Luis Suarez,Uruguay,Atletico Madrid  ,2011-12,Semi-final,Bayern Munich,1,header,Away,2
Antoine Griezmann,France,Atletico Madrid,2020-21,R16,Barcelona,45,PENALTY,AWAY,2
Didier Drogba,Ivory Coast,Chelsea,2023-24,GROUP STAGE,,43,PENALTY, Away,1
Robert Lewandowski,Poland,Borussia Dortmund,2016-17,R16,Bayern Munich,49,header,Away,2
Antoine Griezmann,France,Atletico Madrid,2014-15,Final,Sevilla,24,PENALTY,AWAY,1
Karim Benzema,France,Real Madrid,2018-19,Final,Bayern Munich,32',PENALTY,AWAY,1
Jude Bellingham,England,Real Madrid,2018-19,Round of 16,Barcelona,92,Left Foot,home,3
Robert Lewandowski,Poland,Barcelona,2019-20,Semi-final,Arsenal,83,Free Kick,AWAY,2
Vinicius Junior,Brazil,Real Madrid,2015-16,GROUP STAGE,Tottenham Hotspur,16,right foot,Away,1
Neymar Jr,Brazil,Barcelona,2019-20,Round of 16,Napoli,14,Left Foot,home,1
Raul Gonzalez,Spain,Real Madrid,2012-13,Group stage,AC Milan,96,PENALTY,Away,1
Ruud van Nistelrooy,Netherlands,Real Madrid,2016-17,Quarter-final,Inter Milan,55,Header,home,1
Andriy Shevchenko,Ukraine,Chelsea,2014-15,Group Stage,Bayern Munich,57,Header,Home ,1
  FERNANDO TORRES  ,Spain,Chelsea,2014-15,R16,,51,Right Foot,home,1
Luis Suarez,Uruguay,Barcelona,2012-13,R16,Arsenal,1,Left Foot,Home,2
Luka Modric,Croatia,Real Madrid,2015-16,Final,Bayern Munich,59,Free Kick,AWAY,3
Wayne Rooney,England,Manchester United,2019-20,Semi-final,Juventus,21,Free Kick,home,3
Ruud van Nistelrooy,Netherlands,Manchester United,2022-23,Group stage,Benfica,23,header,AWAY,2
Ousmane Dembele,France,Barcelona,2015-16,Final,Chelsea,79,Right Foot,AWAY,3
Luis Suarez,Uruguay,Barcelona,2012-13,Group stage,Liverpool,88',Left Foot,Away,1
Luis Suarez,Uruguay,Barcelona,2020-21,GROUP STAGE,Arsenal,78,Penalty,AWAY,2
Thomas Muller,Germany,Bayern Munich,2013-14,Round of 16,Manchester City,17,Penalty,Home ,3
Zlatan Ibrahimovic,Sweden,Inter Milan,2012-13,GROUP STAGE,Napoli,54,Left Foot,AWAY,1
Toni Kroos,Germany,Real Madrid,2016-17,Final,Atletico Madrid,62,Right Foot,home,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2013-14,R16,Benfica,36,Right Foot,Away,2
Luis Suarez,Uruguay,Barcelona,2012-13,Final,Porto,23,PENALTY,Home,3
Vinicius Junior,Brazil,Real Madrid,2010-11,GROUP STAGE,Borussia Dortmund,7,PENALTY,Home ,1
Jude Bellingham,England,Real Madrid,2022-23,Final,Benfica,41,header,home,2
Alfredo Di Stefano,Argentina,Real Madrid,2019-20,R16,,81,PENALTY,Home ,2
Bernardo Silva,Portugal,Manchester City,2021-22,R16,Liverpool,18,header,home,1
Memphis Depay,Netherlands,Barcelona,2023-24,R16,Manchester City,71,Right Foot,Home ,1
Julian Alvarez,Argentina,Manchester City,2018-19,Quarter-final,Chelsea,61,Header, Away,1
Filippo Inzaghi,Italy,AC Milan  ,2020-21,Group Stage,Tottenham Hotspur,41,Penalty,home,1
Filippo Inzaghi,Italy,AC Milan,2023-24,Group Stage,Manchester City,80,Header,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2021-22,Semi-final,Paris Saint-Germain,92,Free Kick,Home,3
Joshua Kimmich,Germany,Bayern Munich,2018-19,Group stage,Arsenal,15,Header,AWAY,1
Luis Suarez,Uruguay,Barcelona,2017-18,Final,Manchester United,45,Left Foot,AWAY,3
Filippo Inzaghi,Italy,AC Milan,2010-11,Group stage,Napoli,46,header,Away,1
raul gonzalez,Spain,Real Madrid,2016-17,GROUP STAGE,Ajax,71,right foot,home,1
wayne rooney,England,Manchester United,2020-21,Final,Arsenal,53,right foot,Home ,1
Bukayo Saka,England,Arsenal,2017-18,Final,Barcelona,58,right foot, Away,1
Fernando Torres,Spain,Chelsea,2017-18,Final,Borussia Dortmund,8,PENALTY,home,1
Toni Kroos,Germany,Real Madrid,2020-21,Round of 16,Chelsea,20,header,home,2
Andriy Shevchenko,Ukraine,AC Milan,2012-13,Semi-final,Benfica,16,header, Away,1
Karim Benzema,France,Real Madrid,2010-11,Semi-final,Inter Milan,30,Header,Home,1
Filippo Inzaghi,Italy,AC Milan,2012-13,Quarter-final,Porto,12,Left Foot, Away,1
Luka Modric,Croatia,Real Madrid,2023-24,Final,Manchester City,96,PENALTY, Away,1
Zlatan Ibrahimovic,Sweden,AC Milan,2020-21,Group stage,Napoli,90,Penalty,Home ,1
Fernando Torres,Spain,Liverpool,2010-11,Quarter-final,Barcelona,21,Right Foot, Away,1
Sadio Mane,Senegal,Liverpool,2022-23,Group stage,Juventus,64,Right Foot, Away,1
Alessandro Del Piero,Italy,Juventus,2012-13,Round of 16,Manchester United,18,Left Foot,home,1
Fernando Torres,Spain,Chelsea,2022-23,Round of 16,Atletico Madrid,83,Free Kick,home,2
Bukayo Saka,England,Arsenal,2014-15,GROUP STAGE,Juventus,82,Right Foot,Away,1
Memphis Depay,Netherlands,Barcelona,2011-12,Final,Porto,77,Penalty,Home,2
Mohamed Salah,Egypt,Liverpool,2020-21,Group stage,Paris Saint-Germain,3,right foot,Home,2
Kylian Mbappe,France,Paris Saint-Germain,2021-22,Final,Manchester United,32,Penalty,Away,2
  BERNARDO SILVA  ,Portugal,Manchester City,2020-21,Final,,39,right foot,Home,3
Vinicius Junior,Brazil,Real Madrid,2012-13,Semi-final,Arsenal,25,Header,Home,1
Thomas Muller,Germany,Bayern Munich,2016-17,Quarter-final,Juventus,73,PENALTY,Home,1
Paulo Dybala,Argentina,Juventus,2011-12,Quarter-final,Ajax,49,Free Kick, Away,1
Paulo Dybala,Argentina,Juventus,2010-11,Final,Porto,37,Penalty,Away,1
Andriy Shevchenko,Ukraine,Chelsea,2020-21,GROUP STAGE,Sevilla,18,Free Kick, Away,1
Kylian Mbappe,France,Paris Saint-Germain,2012-13,Quarter-final,Porto,17,Right Foot,AWAY,1
Bernardo Silva,Portugal,Manchester City,2015-16,Semi-final,Benfica,,header,home,2
Andriy Shevchenko,Ukraine,AC Milan,2017-18,Group Stage,Manchester United,68,right foot,Home,3
Luka Modric,Croatia,Real Madrid  ,2010-11,Round of 16,Benfica,85,Left Foot,AWAY,3
Filippo Inzaghi,Italy,AC Milan,2017-18,Group Stage,,42,header, Away,1
Robert Lewandowski,Poland,Bayern Munich,2014-15,Quarter-final,Real Madrid,11,PENALTY,home,1
Alfredo Di Stefano,Argentina,Real Madrid,2015-16,Quarter-final,Manchester City,12,PENALTY,Home,1
Sergio Aguero,Argentina,Manchester City,2012-13,Final,Borussia Dortmund,12,PENALTY, Away,1
Vinicius Junior,Brazil,Real Madrid,2018-19,Final,Arsenal,6,header,AWAY,1
Lionel Messi,Argentina,Paris Saint-Germain,2018-19,R16,Manchester City,31,PENALTY,Home ,1
Ruud van Nistelrooy,Netherlands,Real Madrid,2021-22,Semi-final,Sevilla,85,Header,Home ,1
Alfredo Di Stefano,Argentina,Real Madrid,2010-11,Final,Ajax,47,Header,Away,2
Antoine Griezmann,France,Atletico Madrid,2017-18,Quarter-final,,18,header,AWAY,1
Neymar Jr,Brazil,Barcelona  ,2016-17,Group Stage,Inter Milan,33,Header,Home,1
sergio aguero,Argentina,Manchester City,2022-23,Round of 16,Manchester United,54,header,Home,3
  HARRY KANE  ,England,Tottenham Hotspur,2023-24,Semi-final,Sevilla,65,Left Foot,Home,3
Gareth Bale,Wales,Real Madrid  ,2016-17,Group Stage,Sevilla,59,Left Foot,home,1
Bukayo Saka,England,Arsenal,2020-21,R16,,35,PENALTY,Home ,1
Wayne Rooney,England,Manchester United,2013-14,Quarter-final,Borussia Dortmund,91',Left Foot,Home,2
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2011-12,GROUP STAGE,AC Milan,21,header, Away,2
Bernardo Silva,Portugal,Manchester City,2015-16,Round of 16,Paris Saint-Germain,46,Right Foot,Away,1
Thomas Muller,Germany,Bayern Munich,2020-21,Group stage,Borussia Dortmund,79,Header,Home ,1
Luka Modric,Croatia,Real Madrid,2011-12,Round of 16,Chelsea,68,Header,Away,2
Antoine Griezmann,France,Atletico Madrid,2018-19,GROUP STAGE,Juventus,17,right foot, Away,1
  PAULO DYBALA  ,Argentina,Juventus  ,2019-20,Group stage,Bayern Munich,37,right foot,Home,2
Kevin De Bruyne,Belgium,Manchester City,2013-14,GROUP STAGE,Inter Milan,75,right foot,Away,1
Filippo Inzaghi,Italy,AC Milan,2015-16,Semi-final,Sevilla,61,Penalty,Home,2
Karim Benzema,France,Real Madrid,2018-19,Round of 16,Sevilla,95,right foot,Home ,1
  JULIAN ALVAREZ  ,Argentina,Manchester City,2011-12,Round of 16,Borussia Dortmund,86,PENALTY,AWAY,3
Andriy Shevchenko,Ukraine,Chelsea,2020-21,GROUP STAGE,Borussia Dortmund,96,Free Kick, Away,3
Sadio Mane,Senegal,Bayern Munich,2022-23,Group Stage,Sevilla,26,Free Kick,Away,2
Karim Benzema,France,Real Madrid,2010-11,Quarter-final,Inter Milan,60,right foot,AWAY,2
Bukayo Saka,England,Arsenal,2012-13,GROUP STAGE,Sevilla,38,Penalty,Home,1
Raul Gonzalez,Spain,Real Madrid,2010-11,Round of 16,Inter Milan,50,header, Away,1
didier drogba,Ivory Coast,Chelsea,2017-18,Round of 16,Paris Saint-Germain,68,Penalty,Home ,3
Luis Suarez,Uruguay,Barcelona,2015-16,R16,Tottenham Hotspur,11,Header, Away,3
Erling Haaland,Norway,Manchester City,2023-24,Final,Ajax,95,Header,AWAY,3
Victor Osimhen,,Napoli,2012-13,R16,Atletico Madrid,66',PENALTY,Home ,1
Kylian Mbappe,France,Paris Saint-Germain,2023-24,Quarter-final,Manchester United,1,header,home,1
Lionel Messi,Argentina,Paris Saint-Germain,2012-13,Group Stage,Manchester City,19,right foot,AWAY,1
Paulo Dybala,Argentina,Juventus,2023-24,Final,Real Madrid,20,right foot,Away,2
Cristiano Ronaldo,Portugal,Juventus,2019-20,Group stage,Paris Saint-Germain,87,header,AWAY,1
Cristiano Ronaldo,Portugal,Real Madrid,2019-20,Round of 16,AC Milan,10,Penalty,Home ,1
Joshua Kimmich,Germany,Bayern Munich,2020-21,Final,Atletico Madrid,62,Penalty, Away,1
Memphis Depay,Netherlands,Barcelona,2023-24,Group stage,Benfica,32,Free Kick,Home,1
Joshua Kimmich,Germany,Bayern Munich,2022-23,Round of 16,,74,header,Home ,1
Julian Alvarez,Argentina,Manchester City,2017-18,Group Stage,Manchester City,92,Right Foot,Home,1
Antoine Griezmann,France,Atletico Madrid,2021-22,Final,Ajax,90,header,Home,2
Gareth Bale,Wales,Real Madrid,2021-22,R16,,17,Penalty,Home,1
Cristiano Ronaldo,Portugal,Juventus,2010-11,Group stage,Benfica,76,Left Foot,Home,1
Didier Drogba,Ivory Coast,Chelsea,2018-19,GROUP STAGE,Bayern Munich,84,right foot,Away,3
vinicius junior,Brazil,Real Madrid,2015-16,Quarter-final,Atletico Madrid,82,Free Kick,home,1
Thomas Muller,Germany,Bayern Munich  ,2015-16,GROUP STAGE,Liverpool,22,Free Kick,AWAY,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2023-24,Final,Borussia Dortmund,19,right foot,Home ,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2011-12,Semi-final,Paris Saint-Germain,58',Free Kick,home,1
Robert Lewandowski,Poland,Borussia Dortmund,2012-13,Round of 16,Benfica,48,Free Kick,Away,1
Thomas Muller,Germany,Bayern Munich,2020-21,Group stage,Juventus,70,PENALTY,Home ,2
Lionel Messi,Argentina,Paris Saint-Germain,2012-13,Group Stage,Paris Saint-Germain,92,Left Foot,Home,1
Julian Alvarez,Argentina,Manchester City,2015-16,Semi-final,AC Milan,13,Header,Away,1
Kevin De Bruyne,Belgium,Manchester City,2017-18,Group stage,Juventus,96,Left Foot, Away,1
Neymar Jr,Brazil,Paris Saint-Germain,2022-23,Group stage,Inter Milan,2,Left Foot,Home ,2
Filippo Inzaghi,Italy,AC Milan,2022-23,Group stage,Juventus,43,PENALTY, Away,1
  ANTOINE GRIEZMANN  ,France,Atletico Madrid,2015-16,Round of 16,Chelsea,88,Header,home,3
Filippo Inzaghi,Italy,AC Milan,2013-14,R16,Ajax,91,Left Foot, Away,2
Jude Bellingham,England,Real Madrid,2020-21,Semi-final,Sevilla,8,Penalty,Home,1
Sadio Mane,Senegal,Liverpool,2017-18,GROUP STAGE,Liverpool,71',Right Foot,Home,1
Julian Alvarez,Argentina,Manchester City,2023-24,Round of 16,Barcelona,41,Header,AWAY,2
Luis Suarez,Uruguay,Atletico Madrid,2012-13,Group Stage,Tottenham Hotspur,43,right foot,Home,3
Thomas Muller,Germany,Bayern Munich,2014-15,Semi-final,Tottenham Hotspur,86,Right Foot,Home ,1
Julian Alvarez,Argentina,Manchester City,2014-15,R16,Paris Saint-Germain,63,Free Kick,Home ,3
